MSSV,HoTen,Khoa,KhoaHoc,GPA_TichLuy,TinChiTichLuy,XepLoai
SV20210147,Vũ Dũng Hải,Kỹ thuật dữ liệu,K66,2.4,45,Cần cải thiện
SV20210148,Lê Phúc Vy,Công nghệ thông tin,K64,2.0,47,Cần cải thiện
SV20210149,Vũ Phúc An,Công nghệ thông tin,K65,2.8,109,Khá tích cực
SV20210150,Đỗ Phúc Bình,Kỹ thuật dữ liệu,K66,3.1,109,Khá tích cực
SV20210151,Bùi Hà Hân,Kỹ thuật dữ liệu,K64,3.0,95,Khá tích cực
SV20210152,Hồ Quân Quân,Kinh tế số,K65,3.0,80,Khá tích cực
SV20210153,Đặng Phúc Quân,Công nghệ thông tin,K66,2.2,46,Cần cải thiện
SV20210154,Trần Hà Giang,Công nghệ thông tin,K64,3.3,80,Khá
SV20210155,Đỗ Phúc Trang,Kinh tế số,K65,2.9,84,Khá tích cực
SV20210156,Hồ Bình Linh,Công nghệ thông tin,K66,2.1,62,Cần cải thiện
SV20210157,Hoàng An My,Công nghệ thông tin,K64,2.4,62,Cần cải thiện
SV20210158,Bùi Hải My,Kỹ thuật dữ liệu,K65,2.6,71,Khá tích cực
SV20210159,Đỗ Giang Phúc,Công nghệ thông tin,K66,1.9,28,Cần cải thiện
SV20210160,Vũ Bình Hải,Kinh tế số,K64,2.3,51,Cần cải thiện
SV20210161,Vũ Vy Quân,Kinh tế số,K65,3.3,97,Khá
SV20210162,Lê Ngọc Dũng,Công nghệ thông tin,K66,3.1,102,Khá tích cực
SV20210163,Đỗ Linh Quân,Kỹ thuật dữ liệu,K64,2.4,35,Cần cải thiện
SV20210164,Bùi Lan Linh,Kinh tế số,K65,2.7,79,Khá tích cực
SV20210165,Đỗ Ngọc Chi,Kinh tế số,K66,2.5,85,Khá tích cực
SV20210166,Hồ Phúc Trang,Công nghệ thông tin,K64,2.7,102,Khá tích cực
SV20210167,Đỗ Hân Quân,Công nghệ thông tin,K65,2.8,78,Khá tích cực
SV20210168,Bùi Khánh Chi,Công nghệ thông tin,K66,2.7,86,Khá tích cực
SV20210169,Hồ Khánh An,Công nghệ thông tin,K64,2.2,83,Cần cải thiện
SV20210170,Lê Quân Hân,Kinh tế số,K65,2.0,75,Cần cải thiện
SV20210171,Phạm Bình Giang,Công nghệ thông tin,K66,3.3,66,Khá
SV20210172,Hồ Phúc Lan,Công nghệ thông tin,K64,1.8,36,Cần cải thiện
SV20210173,Bùi Dũng Lan,Công nghệ thông tin,K65,2.8,95,Khá tích cực
SV20210174,Vũ My Lan,Công nghệ thông tin,K66,2.5,51,Khá tích cực
SV20210175,Bùi Long Dũng,Kinh tế số,K64,3.7,132,Xuất sắc
SV20210176,Lê Lan Hà,Kinh tế số,K65,2.4,56,Cần cải thiện
SV20210177,Hồ An Hân,Công nghệ thông tin,K66,2.9,55,Khá tích cực
SV20210178,Đỗ My Long,Công nghệ thông tin,K64,1.4,28,Cần cải thiện
SV20210179,Trần Vy Phúc,Kỹ thuật dữ liệu,K65,2.1,51,Cần cải thiện
SV20210180,Trần Quân Chi,Công nghệ thông tin,K66,2.2,60,Cần cải thiện
SV20210181,Lê Nam Giang,Kinh tế số,K64,2.6,69,Khá tích cực
SV20210182,Hoàng Hân Chi,Kinh tế số,K65,2.7,80,Khá tích cực
SV20210183,Trần Quân Vy,Công nghệ thông tin,K66,4.0,132,Xuất sắc
SV20210184,Đỗ My Dũng,Kinh tế số,K64,2.7,95,Khá tích cực
SV20210185,Nguyễn Dũng My,Công nghệ thông tin,K65,2.5,33,Khá tích cực
SV20210186,Lê My Long,Kinh tế số,K66,2.9,122,Khá tích cực
SV20210187,Bùi Hải My,Công nghệ thông tin,K64,2.8,90,Khá tích cực
SV20210188,Bùi Minh Minh,Công nghệ thông tin,K65,1.8,58,Cần cải thiện
SV20210189,Nguyễn Hân Chi,Công nghệ thông tin,K66,1.5,50,Cần cải thiện
SV20210190,Đặng Nam Dũng,Công nghệ thông tin,K64,3.3,109,Khá
SV20210191,Lê Khánh Chi,Kỹ thuật dữ liệu,K65,2.4,81,Cần cải thiện
SV20210192,Hoàng Giang An,Kinh tế số,K66,3.3,74,Khá
SV20210193,Nguyễn Bình Hân,Kinh tế số,K64,2.3,57,Cần cải thiện
SV20210194,Phạm Hải Khánh,Kỹ thuật dữ liệu,K65,2.8,101,Khá tích cực
SV20210195,Phạm Ngọc Giang,Công nghệ thông tin,K66,2.9,68,Khá tích cực
SV20210196,Bùi Hà Nam,Kỹ thuật dữ liệu,K64,2.2,57,Cần cải thiện
SV20210197,Hoàng Ngọc Hương,Công nghệ thông tin,K65,2.7,82,Khá tích cực
SV20210198,Vũ Nam My,Kinh tế số,K66,2.4,54,Cần cải thiện
SV20210199,Vũ Chi Nam,Công nghệ thông tin,K64,2.0,28,Cần cải thiện
SV20210200,Phạm Khánh Hương,Kỹ thuật dữ liệu,K65,3.3,103,Khá
SV20210201,Đặng Long Bình,Kỹ thuật dữ liệu,K66,3.3,103,Khá
SV20210202,Vũ An Chi,Kinh tế số,K64,3.1,110,Khá tích cực
SV20210203,Nguyễn Dũng Vy,Kỹ thuật dữ liệu,K65,2.3,63,Cần cải thiện
SV20210204,Vũ My Ngọc,Công nghệ thông tin,K66,2.9,88,Khá tích cực
SV20210205,Đặng Linh An,Kỹ thuật dữ liệu,K64,1.7,35,Cần cải thiện
SV20210206,Hồ Hân Trang,Kinh tế số,K65,2.9,69,Khá tích cực
SV20210207,Hoàng Linh Trang,Công nghệ thông tin,K66,2.1,86,Cần cải thiện
SV20210208,Đỗ Chi Linh,Công nghệ thông tin,K64,2.9,75,Khá tích cực
SV20210209,Lê Quân Quân,Công nghệ thông tin,K65,2.8,52,Khá tích cực
SV20210210,Trần Chi Khánh,Công nghệ thông tin,K66,3.0,94,Khá tích cực
SV20210211,Lê Linh Nam,Kỹ thuật dữ liệu,K64,3.5,96,Khá
SV20210212,Phạm Vy Lan,Công nghệ thông tin,K65,2.3,28,Cần cải thiện
SV20210213,Phạm Long Minh,Công nghệ thông tin,K66,3.1,105,Khá tích cực
SV20210214,Trần Phúc Hương,Kỹ thuật dữ liệu,K64,2.5,72,Khá tích cực
SV20210215,Đỗ Lan Nam,Công nghệ thông tin,K65,2.5,65,Khá tích cực
SV20210216,Lê Minh Trang,Công nghệ thông tin,K66,2.6,70,Khá tích cực
SV20210217,Phạm Bình Dũng,Công nghệ thông tin,K64,2.6,59,Khá tích cực
SV20210218,Trần Khánh Hương,Công nghệ thông tin,K65,2.9,84,Khá tích cực
SV20210219,Vũ Linh Hà,Kinh tế số,K66,2.7,51,Khá tích cực
SV20210220,Đặng Bình Linh,Công nghệ thông tin,K64,2.6,75,Khá tích cực
SV20210221,Vũ Khánh Hân,Kỹ thuật dữ liệu,K65,3.4,86,Khá
SV20210222,Nguyễn Hải Trang,Công nghệ thông tin,K66,3.1,87,Khá tích cực
SV20210223,Trần Minh Chi,Công nghệ thông tin,K64,2.9,77,Khá tích cực
SV20210224,Đặng An Giang,Công nghệ thông tin,K65,1.9,72,Cần cải thiện
SV20210225,Đặng Trang Hà,Công nghệ thông tin,K66,1.9,58,Cần cải thiện
SV20210226,Vũ Nam Chi,Kỹ thuật dữ liệu,K64,3.2,91,Khá
SV20210227,Bùi Khánh Quân,Công nghệ thông tin,K65,2.1,49,Cần cải thiện
SV20210228,Nguyễn Trang Long,Kinh tế số,K66,3.2,101,Khá
SV20210229,Đặng Lan Hân,Công nghệ thông tin,K64,3.2,120,Khá
SV20210230,Lê Hải Nam,Công nghệ thông tin,K65,2.4,83,Cần cải thiện
SV20210231,Vũ My Minh,Công nghệ thông tin,K66,2.4,67,Cần cải thiện
SV20210232,Trần An My,Công nghệ thông tin,K64,2.0,51,Cần cải thiện
SV20210233,Trần Hà Minh,Kinh tế số,K65,3.2,122,Khá
SV20210234,Phạm Hà Hương,Công nghệ thông tin,K66,3.0,106,Khá tích cực
SV20210235,Lê Hải Hà,Kinh tế số,K64,2.8,64,Khá tích cực
SV20210236,Trần Dũng Linh,Công nghệ thông tin,K65,2.4,67,Cần cải thiện
SV20210237,Hoàng Trang Khánh,Công nghệ thông tin,K66,2.1,83,Cần cải thiện
SV20210238,Hoàng Hà Trang,Công nghệ thông tin,K64,2.5,74,Khá tích cực
SV20210239,Phạm Chi Dũng,Công nghệ thông tin,K65,2.3,57,Cần cải thiện
SV20210240,Đỗ My Quân,Kinh tế số,K66,3.3,100,Khá
SV20210241,Hồ My Hà,Kinh tế số,K64,2.0,82,Cần cải thiện
SV20210242,Lê Giang Linh,Kỹ thuật dữ liệu,K65,2.5,85,Khá tích cực
SV20210243,Bùi Long Lan,Kinh tế số,K66,3.4,99,Khá
SV20210244,Phạm Hải Dũng,Công nghệ thông tin,K64,2.9,70,Khá tích cực
SV20210245,Vũ Hải Quân,Công nghệ thông tin,K65,3.7,132,Xuất sắc
SV20210246,Phạm Minh Minh,Công nghệ thông tin,K66,2.7,43,Khá tích cực
SV20210247,Đỗ Quân Quân,Công nghệ thông tin,K64,2.7,70,Khá tích cực
SV20210248,Lê Khánh Phúc,Công nghệ thông tin,K65,2.3,65,Cần cải thiện
SV20210249,Nguyễn An Bình,Kỹ thuật dữ liệu,K66,2.6,70,Khá tích cực
SV20210250,Vũ Ngọc Phúc,Kinh tế số,K64,2.2,48,Cần cải thiện
SV20210251,Lê Ngọc Linh,Công nghệ thông tin,K65,2.5,51,Khá tích cực
SV20210252,Đỗ Lan Quân,Công nghệ thông tin,K66,2.9,74,Khá tích cực
SV20210253,Bùi Hà Long,Công nghệ thông tin,K64,2.5,70,Khá tích cực
SV20210254,Nguyễn Vy Quân,Công nghệ thông tin,K65,3.2,87,Khá
SV20210255,Hoàng Hân My,Kinh tế số,K66,2.9,74,Khá tích cực
SV20210256,Bùi Bình Hân,Công nghệ thông tin,K64,1.9,57,Cần cải thiện
SV20210257,Vũ Hà Trang,Công nghệ thông tin,K65,2.3,90,Cần cải thiện
SV20210258,Phạm Vy Minh,Công nghệ thông tin,K66,2.5,52,Khá tích cực
SV20210259,Trần Ngọc Nam,Công nghệ thông tin,K64,1.9,62,Cần cải thiện
SV20210260,Phạm Bình Trang,Công nghệ thông tin,K65,2.9,91,Khá tích cực
SV20210261,Phạm An Bình,Công nghệ thông tin,K66,2.9,116,Khá tích cực
SV20210262,Hồ Hân Quân,Công nghệ thông tin,K64,2.9,84,Khá tích cực
SV20210263,Nguyễn Linh Vy,Kỹ thuật dữ liệu,K65,2.3,37,Cần cải thiện
SV20210264,Bùi Hải Nam,Công nghệ thông tin,K66,2.6,66,Khá tích cực
SV20210265,Nguyễn Vy Vy,Kỹ thuật dữ liệu,K64,2.8,79,Khá tích cực
SV20210266,Đỗ Dũng Chi,Công nghệ thông tin,K65,2.6,96,Khá tích cực
SV20210267,Lê An Hải,Công nghệ thông tin,K66,2.9,112,Khá tích cực
SV20210268,Đặng Chi Minh,Kỹ thuật dữ liệu,K64,2.0,55,Cần cải thiện
SV20210269,Đặng Hải Chi,Kinh tế số,K65,2.7,63,Khá tích cực
SV20210270,Trần Lan Lan,Kinh tế số,K66,3.2,85,Khá
SV20210271,Đỗ Hương Vy,Công nghệ thông tin,K64,2.8,76,Khá tích cực
SV20210272,Hoàng Dũng An,Kỹ thuật dữ liệu,K65,2.4,91,Cần cải thiện
SV20210273,Đặng Linh Ngọc,Kinh tế số,K66,2.8,64,Khá tích cực
SV20210274,Đặng Quân Long,Kinh tế số,K64,2.4,73,Cần cải thiện
SV20210275,Đỗ Long Giang,Kỹ thuật dữ liệu,K65,3.4,116,Khá
SV20210276,Đỗ Khánh Chi,Kinh tế số,K66,3.3,63,Khá
SV20210277,Bùi Hà Khánh,Kinh tế số,K64,2.4,76,Cần cải thiện
SV20210278,Trần Hân Hương,Kỹ thuật dữ liệu,K65,2.9,69,Khá tích cực
SV20210279,Hồ Long Hà,Công nghệ thông tin,K66,2.5,67,Khá tích cực
SV20210280,Vũ Nam Phúc,Kinh tế số,K64,2.4,73,Cần cải thiện
SV20210281,Trần Phúc Hương,Kỹ thuật dữ liệu,K65,2.2,60,Cần cải thiện
SV20210282,Đặng Nam Hương,Công nghệ thông tin,K66,3.2,104,Khá
SV20210283,Nguyễn Bình Long,Công nghệ thông tin,K64,2.7,102,Khá tích cực
SV20210284,Trần Lan Long,Công nghệ thông tin,K65,3.6,100,Xuất sắc
SV20210285,Hồ Minh Hương,Công nghệ thông tin,K66,3.5,88,Khá
SV20210286,Lê Quân Hà,Công nghệ thông tin,K64,2.5,71,Khá tích cực
SV20210287,Hoàng Bình Quân,Kỹ thuật dữ liệu,K65,1.8,51,Cần cải thiện
SV20210288,Đỗ Khánh Hân,Kỹ thuật dữ liệu,K66,3.0,78,Khá tích cực
SV20210289,Phạm Vy Chi,Công nghệ thông tin,K64,2.6,59,Khá tích cực
SV20210290,Hồ Hải An,Công nghệ thông tin,K65,2.8,88,Khá tích cực
SV20210291,Phạm Minh Dũng,Kinh tế số,K66,2.7,81,Khá tích cực
SV20210292,Nguyễn Khánh Vy,Công nghệ thông tin,K64,2.1,71,Cần cải thiện
SV20210293,Lê Hương Giang,Công nghệ thông tin,K65,3.3,106,Khá
SV20210294,Hồ Lan Trang,Công nghệ thông tin,K66,3.0,78,Khá tích cực
SV20210295,Vũ Lan Quân,Công nghệ thông tin,K64,2.0,50,Cần cải thiện
SV20210296,Đỗ My Quân,Kinh tế số,K65,2.7,68,Khá tích cực
SV20210297,Nguyễn Chi Minh,Công nghệ thông tin,K66,2.0,58,Cần cải thiện
SV20210298,Đỗ An Lan,Công nghệ thông tin,K64,2.5,57,Khá tích cực
SV20210299,Đặng Hương Minh,Công nghệ thông tin,K65,3.0,98,Khá tích cực
SV20210300,Lê Quân Bình,Kỹ thuật dữ liệu,K66,2.8,118,Khá tích cực
SV20210301,Nguyễn Hân Dũng,Kỹ thuật dữ liệu,K64,2.4,49,Cần cải thiện
SV20210302,Đỗ My Hân,Kỹ thuật dữ liệu,K65,2.0,46,Cần cải thiện
SV20210303,Lê Dũng Dũng,Kinh tế số,K66,2.2,64,Cần cải thiện
SV20210304,Bùi Hương Hương,Kỹ thuật dữ liệu,K64,2.5,44,Khá tích cực
SV20210305,Đặng Long Giang,Công nghệ thông tin,K65,2.5,44,Khá tích cực
SV20210306,Vũ Lan Hân,Công nghệ thông tin,K66,2.6,108,Khá tích cực
SV20210307,Hoàng Chi My,Công nghệ thông tin,K64,2.6,78,Khá tích cực
SV20210308,Vũ Giang Hà,Công nghệ thông tin,K65,2.2,82,Cần cải thiện
SV20210309,Bùi Giang Lan,Công nghệ thông tin,K66,2.4,62,Cần cải thiện
